date,TECHM,overlap
2012-05-28,16.0,
2012-05-29,0.0,
2012-05-30,15.0,
2012-05-31,0.0,
2012-06-01,16.0,
2012-06-02,0.0,
2012-06-03,37.0,
2012-06-04,0.0,
2012-06-05,0.0,
2012-06-06,0.0,
2012-06-07,0.0,
2012-06-08,0.0,
2012-06-09,0.0,
2012-06-10,0.0,
2012-06-11,0.0,
2012-06-12,0.0,
2012-06-13,0.0,
2012-06-14,0.0,
2012-06-15,16.0,
2012-06-16,0.0,
2012-06-17,0.0,
2012-06-18,0.0,
2012-06-19,0.0,
2012-06-20,15.0,
2012-06-21,0.0,
2012-06-22,32.0,
2012-06-23,0.0,
2012-06-24,0.0,
2012-06-25,15.0,
2012-06-26,0.0,
2012-06-27,0.0,
2012-06-28,0.0,
2012-06-29,0.0,
2012-06-30,19.0,
2012-07-01,0.0,
2012-07-02,0.0,
2012-07-03,0.0,
2012-07-04,0.0,
2012-07-05,16.0,
2012-07-06,0.0,
2012-07-07,0.0,
2012-07-08,0.0,
2012-07-09,0.0,
2012-07-10,15.0,
2012-07-11,16.0,
2012-07-12,0.0,
2012-07-13,0.0,
2012-07-14,0.0,
2012-07-15,0.0,
2012-07-16,0.0,
2012-07-17,15.0,
2012-07-18,0.0,
2012-07-19,0.0,
2012-07-20,0.0,
2012-07-21,0.0,
2012-07-22,19.0,
2012-07-23,16.0,
2012-07-24,31.0,
2012-07-25,16.0,
2012-07-26,0.0,
2012-07-27,0.0,
2012-07-28,0.0,
2012-07-29,0.0,
2012-07-30,15.0,
2012-07-31,0.0,
2012-08-01,16.0,
2012-08-02,16.0,
2012-08-03,8.0,1.0
2012-08-04,0.0,1.0
2012-08-05,0.0,1.0
2012-08-06,8.0,1.0
2012-08-07,8.0,1.0
2012-08-08,0.0,1.0
2012-08-09,15.0,1.0
2012-08-10,25.0,1.0
2012-08-11,9.0,1.0
2012-08-12,10.0,1.0
2012-08-13,16.0,1.0
2012-08-14,16.0,1.0
2012-08-15,0.0,1.0
2012-08-16,0.0,1.0
2012-08-17,0.0,1.0
2012-08-18,0.0,1.0
2012-08-19,0.0,1.0
2012-08-20,0.0,1.0
2012-08-21,0.0,1.0
2012-08-22,0.0,1.0
2012-08-23,16.0,1.0
2012-08-24,17.0,1.0
2012-08-25,10.0,1.0
2012-08-26,19.0,1.0
2012-08-27,0.0,1.0
2012-08-28,0.0,1.0
2012-08-29,8.0,1.0
2012-08-30,8.0,1.0
2012-08-31,8.0,1.0
2012-09-01,0.0,1.0
2012-09-02,0.0,1.0
2012-09-03,23.0,1.0
2012-09-04,15.0,1.0
2012-09-05,19.0,1.0
2012-09-06,0.0,1.0
2012-09-07,0.0,1.0
2012-09-08,10.0,1.0
2012-09-09,10.0,1.0
2012-09-10,7.0,1.0
2012-09-11,8.0,1.0
2012-09-12,8.0,1.0
2012-09-13,8.0,1.0
2012-09-14,39.0,1.0
2012-09-15,0.0,1.0
2012-09-16,0.0,1.0
2012-09-17,30.0,1.0
2012-09-18,15.0,1.0
2012-09-19,15.0,1.0
2012-09-20,8.0,1.0
2012-09-21,0.0,1.0
2012-09-22,0.0,1.0
2012-09-23,9.0,1.0
2012-09-24,7.0,1.0
2012-09-25,0.0,1.0
